date,temperature,wind_speed,electricity_demand,PriceArea,electricity_price,day_of_week,month,day_of_year
2020-06-15,17.4,11.8,2717.68,DK1,19.059999,0,6,167
2020-06-15,17.4,11.8,2717.68,DK2,19.059999,0,6,167
2020-06-16,19.2,11.6,2884.11,DK1,25.17,1,6,168
2020-06-16,19.2,11.6,2884.11,DK2,25.17,1,6,168
2020-06-17,16.8,9.6,2937.58,DK1,28.1,2,6,169
2020-06-17,16.8,9.6,2937.58,DK2,28.1,2,6,169
2020-06-18,17.9,9.1,2958.33,DK1,23.51,3,6,170
2020-06-18,17.9,9.1,2958.33,DK2,23.51,3,6,170
2020-06-19,18.0,10.3,3006.32,DK1,23.25,4,6,171
2020-06-19,18.0,10.3,3006.32,DK2,23.25,4,6,171
2020-06-20,18.4,15.8,2749.5,DK1,22.799999,5,6,172
2020-06-20,18.4,15.8,2749.5,DK2,22.799999,5,6,172
2020-06-21,17.5,14.8,2625.03,DK1,22.15,6,6,173
2020-06-21,17.5,14.8,2625.03,DK2,22.15,6,6,173
2020-06-22,17.5,14.7,2797.03,DK1,20.610001,0,6,174
2020-06-22,17.5,14.7,2797.03,DK2,20.610001,0,6,174
2020-06-23,17.8,13.7,2814.25,DK1,25.879999,1,6,175
2020-06-23,17.8,13.7,2814.25,DK2,25.879999,1,6,175
2020-06-24,18.7,8.5,2889.84,DK1,27.83,2,6,176
2020-06-24,18.7,8.5,2889.84,DK2,27.83,2,6,176
2020-06-25,20.7,11.3,2928.88,DK1,26.51,3,6,177
2020-06-25,20.7,11.3,2928.88,DK2,26.51,3,6,177
2020-06-26,21.6,14.6,2987.47,DK1,25.959999,4,6,178
2020-06-26,21.6,14.6,2987.47,DK2,25.959999,4,6,178
2020-06-27,20.4,13.7,2816.01,DK1,28.299999,5,6,179
2020-06-27,20.4,13.7,2816.01,DK2,28.299999,5,6,179
2020-06-28,19.2,13.3,2643.14,DK1,16.9,6,6,180
2020-06-28,19.2,13.3,2643.14,DK2,16.9,6,6,180
2020-06-29,18.2,16.9,2741.8,DK1,16.879999,0,6,181
2020-06-29,18.2,16.9,2741.8,DK2,16.879999,0,6,181
2020-06-30,15.8,32.6,2864.28,DK1,3.6,1,6,182
2020-06-30,15.8,32.6,2864.28,DK2,3.6,1,6,182
2020-07-01,17.1,21.6,2735.34,DK1,0.46,2,7,183
2020-07-01,17.1,21.6,2735.34,DK2,0.46,2,7,183
2020-07-02,16.9,15.5,2786.45,DK1,28.379999,3,7,184
2020-07-02,16.9,15.5,2786.45,DK2,28.379999,3,7,184
2020-07-03,15.4,16.7,2701.58,DK1,32.57,4,7,185
2020-07-03,15.4,16.7,2701.58,DK2,32.57,4,7,185
2020-07-04,16.4,29.5,2622.46,DK1,1.21,5,7,186
2020-07-04,16.4,29.5,2622.46,DK2,1.21,5,7,186
2020-07-05,17.6,30.4,2601.56,DK1,0.08,6,7,187
2020-07-05,17.6,30.4,2601.56,DK2,0.88,6,7,187
2020-07-06,15.0,33.5,2675.05,DK1,0.0,0,7,188
2020-07-06,15.0,33.5,2675.05,DK2,0.0,0,7,188
2020-07-07,13.8,26.6,2756.97,DK1,0.08,1,7,189
2020-07-07,13.8,26.6,2756.97,DK2,0.08,1,7,189
2020-07-08,13.5,21.8,2764.36,DK1,16.01,2,7,190
2020-07-08,13.5,21.8,2764.36,DK2,16.01,2,7,190
2020-07-09,13.4,11.7,2773.33,DK1,32.66,3,7,191
2020-07-09,13.4,11.7,2773.33,DK2,32.66,3,7,191
2020-07-10,12.9,10.2,2728.9,DK1,32.939999,4,7,192
2020-07-10,12.9,10.2,2728.9,DK2,32.939999,4,7,192
2020-07-11,14.5,24.0,2686.6,DK1,5.84,5,7,193
2020-07-11,14.5,24.0,2686.6,DK2,5.84,5,7,193
2020-07-12,14.4,22.1,2513.91,DK1,9.03,6,7,194
2020-07-12,14.4,22.1,2513.91,DK2,9.03,6,7,194
2020-07-13,15.1,15.0,2547.85,DK1,9.02,0,7,195
2020-07-13,15.1,15.0,2547.85,DK2,9.02,0,7,195
2020-07-14,16.2,12.5,2654.44,DK1,28.16,1,7,196
2020-07-14,16.2,12.5,2654.44,DK2,28.16,1,7,196
2020-07-15,15.6,8.8,2652.49,DK1,30.0,2,7,197
2020-07-15,15.6,8.8,2652.49,DK2,30.0,2,7,197
2020-07-16,15.5,15.4,2603.87,DK1,29.84,3,7,198
2020-07-16,15.5,15.4,2603.87,DK2,29.84,3,7,198
2020-07-17,17.6,12.7,2622.57,DK1,29.51,4,7,199
2020-07-17,17.6,12.7,2622.57,DK2,29.51,4,7,199
2020-07-18,18.1,9.6,2525.5,DK1,27.620001,5,7,200
2020-07-18,18.1,9.6,2525.5,DK2,27.620001,5,7,200
2020-07-19,19.2,12.2,2492.69,DK1,27.0,6,7,201
2020-07-19,19.2,12.2,2492.69,DK2,27.0,6,7,201
